Key,English,Chinese,Korean,Tagalog,Spanish
a_chirla_project,A CHIRLA Project,一个CHIRLA项目,CHIRLA 프로젝트,Project ng CHIRLA,Un projecto de CHIRLA
about,About,关于,앱 정보,Tungkol Dito,Información
acknowledgements,Acknowledgements,致谢,승인,empty_value,Agradecimientos
agent_arrests_me,Agent arrests me,被移民执法员逮捕,이민국 요원한테 체포당했을 경우,Inaresto Ako ng Ahente,El agente me detiene. 
agent_at_work,Agent is at my workplace,移民局执法员在我的工作地点,이민국 요원이 귀하의 직장으로 왔을경우,Ang ahente ay nasa lugar ng trabaho ko,El agente está en mi lugar de trabajo
agent_inside_home,Agent is inside my home,移民局执法员在家里,이민국 요원이 집 안으로 들어왔을 경우,Nasa Loob ang Ahente,El agente está dentro de mi casa.
agent_looking_for_someone?,Agents looking for a loved one?,如果移民局执法员在寻找您的亲人？,이민국 요원이 귀하의 가족이나 지인 찾고 있다면?,Paano kung nagtatanong ang ahente kung nasaan ang iyong mga mahal sa buhay?,Los agentes buscan otra persona?
agent_no_warrant?,Agents don't have a signed warrant?,移民局执法员没有签署的逮捕令？,이민국 요원이 판사가 서명한 체포영장을 가지고 있지 않는다면?,Paano kung walang warrant o utos na pirmado ang mga ahente?,Los agentes no tienen una orden judicial asignada?
agent_on_public_transit,Agent is on public transit ,移民局执法员乘坐公共交通,대중교통 수단에 이민국 요원과 동승한 경우,Ang ahente ay nasa pampublikong transportasyon,El agente está en tránsito público
agent_on_street,Agent stops me on the street,移民局执法员在街上拦住我。,이민국 요원의 가두검문 경우,Pinigilan ako ng ahente sa kalye,El agente me para en la calle. 
agent_outside_home,Agent is outside my home,移民局执法员在家外,이민국 요원이 집 밖에 있을 경우,Nasa Labas ang Ahente,El agente está fuera de mi casa. 
agent_pulls_over,Agent pulls me over,移民局执法员指示我靠边停车。,차 운행중 이민국 요원의 정차지시를 받은 경우,Pinatabi ako ng Ahento tuwing nagmamaneho,El agente me detiene mientras manejo el carro.
agent_won't_leave?,Agents won't leave?,如果移民局执法员不离开？,이민국 요원이 떠나지 않는다면?,Paano kapag hindi umaalis ang mga ahente?,Los agentes no se van?
back,Back,返回,돌아가기,empty_value,empty_value
call,Call,联系,전화,Tawagan,Llama
call_emergency_hotline,Call Emergency Hotline,拨打紧急热线,핫라인에 즉시 전화를 거세요,Tawagan ang hotline na pang emerhensya,Llamar a la línea de emergencia
call_hotline_if,Call the hotline if...,拨打热线，如果,"핫라인에 즉시 전화를 거세요, 만약에",Tawagan ang hotline kung....,Llame a la línea directa si ...
call_your_attorney_or_hotline,Call your attorney or the emergency hotline.,给您的律师或紧急热线打电话。,귀하의 변호사 또는 긴급 연락망으로 전화하세요.,Tawagan ang abogado o ang hotline para sa emerhensya.,Llame a su abogado/a o la línea de emergencia.
call_your_attorney_while_in_car,Call your attorney while in the car.,当您还在车里时，给您的律师打电话。,차 안에있는 동안 변호사에게 연락하세요.,Tawagan mo ang iyong abogado habang nasa kotse.,Llame a su abogado mientras esteja en el carro.
children_or_elderly_are_present,children or elderly are present,儿童或老人在场,노약자나 어린이가 집안에 있을 경우,mayroong mga bata o matanda sa loob.,hay niños o ancianos en casa
choose_hotline,Choose your emergency hotline:,选择您的紧急热线,긴급 핫라인을 선택하십시오,Piliin ang iyong hotline na emerhensya,Escoja una línea de emergencia.
choose_language,Choose your language:,选择你的语言：,언어를 선택하십시오:,Piliin ang iyong wika:,Escoja su idioma:
close,Close,关闭,닫기,empty_value,empty_value
completed_title,You are all set to explore and use Fire!,您已经准备好，可以探索并使用Fire !,Fire를 사용할 준비가 다 되었습니다!,Handa ka nang gamitin ang Fire!,¡Estás listo para explorar y usar Fire!
connect_with_organizations,Connect with local organizations,与当地组织联系,지역 조직과 연결,Kumonekta sa mga lokal na samahan,Conéctese con organizaciones locales
connect_with_organizations_subtitle,Find organizations near you that offer free or affordable immigration legal services.,在您的附近，查找免费或价格合理的机关，提供移民法律服务。,무료 또는 저렴한 이민 법률 서비스를 제공하는 가까운 지원단체를 찾으세요,Maghanap ng mga organisasyon na malapit sayo na nagbibigay ng mga libre o abot-kayang ligal na serbisyo,Encontre organizaciones cerca de usted que ofrecen servicio legal gratis o barato para inmigrantes. 
continue,Continue,继续,다음,Tumuloy,Continuar
disclaimer,DISCLAIMER,声明,부인 성명,Pagwawaksi,DESCARGO DE RESPONSABILIDAD
disclaimer_body,This information is produced by CHIRLA for educational purposes only. This is not intended as and is not a substitute for legal advice. Last updated: July 2020,以上信息由CHIRLA制作，且只用于教育目的，而不是意图或等于法律建议。最后一次更新：2020年7月,"이 정보는 CHIRLA에서 오직 교육 목적으로 제공되며, 법률 상담으로 대처될수 없음을 밝힙니다. 마지막 업데이트 2020년 7월",empty_value,CHIRLA produce esta información únicamente con fines educativos. Esto no pretende ni sustituye el asesoramiento legal. Última actualización: Julio 2020
do_not_drive_away,Do not drive away.,不要开车离开。,운전해서 현장을 떠나가지 마세요.,Huwag magpatuloy sa pagmamaneho.,No se aleje.
do_not_give_false_documents,Do not give false documents.,不要提供虚假文件。,허위서류를 제출하지 마세요.,Huwag magbigay ng pekeng dokumento.,No le de documentos falsos.
do_not_lie,Do not lie.,不要说谎。,거짓말을 하지 마세요.,Huwag magsinungaling.,No mienta.
do_not_open_car_door,Do not open your car door.,不要开车门。,차 문을 열지 마세요.,Huwag buksan ang pinto ng kotse.,No abra la puerta del carro.
do_not_open_door,Do not open the door.,绝对不要开门,절대로 문을 열지 마세요.,Huwag buksan ang pinto.,No abra la puerta.
do_not_present_your_license,Do not present your driver's license or any other idenfitications. ,不要出示您的驾照或任何其它身份证件。,운전 면허증 및 다른 신분증을 제시하지 마세요.,Huwag ipakita ang iyong lisensya o iba pang dokumento ng pagkakakilanlan.,No presente su licencia de conducir ni cualquier tipo de identificacion. 
do_not_provide_information,Do not provide any information.,不要提供任何信息。,아무런 정보를 제공하지 마세요.,Huwag magbigay ng kahit anong impormasyon.,No le de información.
do_not_resist_arrest,Do not resist arrest.,被逮捕时，不要抵抗。,체포에 저항하지 마세요.,Huwag labanan ang pag-aresto.,No se resista al arresto.
do_not_run_or_speak,Do not run or speak.,不要逃跑或说话,어떤 이야기를 하거나 도망가지 마세요.,Huwag tumakbo o magsalita.,No corra ni hable.
